No.,Time,Source,Destination,Protocol,Length,Info
1,0,10.97.172.240,52.21.103.149,TCP,78,54831  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089640327 TSecr=0 SACK_PERM=1
2,0.082079,52.21.103.149,10.97.172.240,TCP,66,"443  >  54831 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1380 SACK_PERM=1 WS=256"
3,0.082252,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
4,0.083455,10.97.172.240,52.21.103.149,TLSv1.2,309,Client Hello
5,0.16465,52.21.103.149,10.97.172.240,TCP,54,443  >  54831 [ACK] Seq=1 Ack=256 Win=28160 Len=0
6,0.169221,52.21.103.149,10.97.172.240,TLSv1.2,1434,Server Hello
7,0.169231,52.21.103.149,10.97.172.240,TCP,1434,443  >  54831 [ACK] Seq=1381 Ack=256 Win=28160 Len=1380 [TCP segment of a reassembled PDU]
8,0.169233,52.21.103.149,10.97.172.240,TLSv1.2,496,"Certificate, Server Key Exchange, Server Hello Done"
9,0.169358,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=256 Ack=2761 Win=259328 Len=0
10,0.16936,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=256 Ack=3203 Win=258880 Len=0
11,0.169485,10.97.172.240,52.21.103.149,TCP,54,[TCP Window Update] 54831  >  443 [ACK] Seq=256 Ack=3203 Win=262144 Len=0
12,0.228251,10.97.172.240,52.21.103.149,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
13,0.31155,52.21.103.149,10.97.172.240,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
14,0.311678,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=382 Ack=3254 Win=262080 Len=0
15,0.313265,10.97.172.240,52.21.103.149,TLSv1.2,741,Application Data
16,0.468444,52.21.103.149,10.97.172.240,TCP,54,443  >  54831 [ACK] Seq=3254 Ack=1069 Win=29440 Len=0
17,0.483855,52.21.103.149,10.97.172.240,TLSv1.2,1019,Application Data
18,0.483938,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=1069 Ack=4219 Win=261120 Len=0
19,0.484752,52.21.103.149,10.97.172.240,TLSv1.2,256,Application Data
20,0.48476,52.21.103.149,10.97.172.240,TLSv1.2,88,Application Data
21,0.484861,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=1069 Ack=4421 Win=261888 Len=0
22,0.484861,10.97.172.240,52.21.103.149,TCP,54,54831  >  443 [ACK] Seq=1069 Ack=4455 Win=261888 Len=0
23,0.497275,10.97.172.240,162.125.18.133,TCP,54,"53359  >  443 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0"
24,0.497879,10.97.172.240,162.125.18.133,TCP,54,"54122  >  443 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0"
25,0.505542,10.97.172.240,193.60.250.1,DNS,78,Standard query 0xd88f A bolt.v.dropbox.com
26,0.508226,193.60.250.1,10.97.172.240,DNS,294,Standard query response 0xd88f A bolt.v.dropbox.com A 162.125.18.133 NS ns-773.awsdns-32.net NS ns-1926.awsdns-48.co.uk NS ns-1276.awsdns-31.org NS ns-57.awsdns-07.com A 205.251.196.252 A 205.251.199.134 A 205.251.192.57 A 205.251.195.5
27,0.509787,10.97.172.240,162.125.18.133,TCP,78,54834  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089640829 TSecr=0 SACK_PERM=1
28,0.517038,10.97.172.240,162.125.18.133,TCP,78,54835  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089640836 TSecr=0 SACK_PERM=1
29,0.524026,10.97.172.240,162.125.18.133,TCP,78,54836  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089640842 TSecr=0 SACK_PERM=1
30,0.530291,10.97.172.240,162.125.18.133,TCP,78,54837  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089640848 TSecr=0 SACK_PERM=1
31,0.575354,162.125.18.133,10.97.172.240,TLSv1.2,85,Encrypted Alert
32,0.575429,10.97.172.240,162.125.18.133,TCP,54,53359  >  443 [RST] Seq=2 Win=0 Len=0
33,0.576105,162.125.18.133,10.97.172.240,TCP,54,"443  >  53359 [FIN, ACK] Seq=32 Ack=2 Win=302 Len=0"
34,0.576107,162.125.18.133,10.97.172.240,TLSv1.2,85,Encrypted Alert
35,0.576138,10.97.172.240,162.125.18.133,TCP,54,53359  >  443 [RST] Seq=2 Win=0 Len=0
36,0.576166,10.97.172.240,162.125.18.133,TCP,54,54122  >  443 [RST] Seq=2 Win=0 Len=0
37,0.57632,162.125.18.133,10.97.172.240,TCP,54,"443  >  54122 [FIN, ACK] Seq=32 Ack=2 Win=223 Len=0"
38,0.57634,10.97.172.240,162.125.18.133,TCP,54,54122  >  443 [RST] Seq=2 Win=0 Len=0
39,0.584819,162.125.18.133,10.97.172.240,TCP,66,"443  >  54834 [SYN, ACK] Seq=0 Ack=1 Win=28800 Len=0 MSS=1380 SACK_PERM=1 WS=512"
40,0.584882,10.97.172.240,162.125.18.133,TCP,54,54834  >  443 [RST] Seq=1 Win=0 Len=0
41,0.595098,162.125.18.133,10.97.172.240,TCP,66,"443  >  54835 [SYN, ACK] Seq=0 Ack=1 Win=28800 Len=0 MSS=1380 SACK_PERM=1 WS=512"
42,0.595145,10.97.172.240,162.125.18.133,TCP,54,54835  >  443 [RST] Seq=1 Win=0 Len=0
43,0.605222,162.125.18.133,10.97.172.240,TCP,66,"443  >  54836 [SYN, ACK] Seq=0 Ack=1 Win=28800 Len=0 MSS=1380 SACK_PERM=1 WS=512"
